Time, Time Since Begin, V/V Raw Data, Force 
1599840494,0.246963978,1.43E-05,1.3962055
1599840494,0.285899162,1.42E-05,1.331944
1599840494,0.326967478,1.42E-05,1.248124
1599840494,0.366043091,1.40E-05,1.013431
1599840494,0.414942503,1.40E-05,0.9491695
1599840494,0.454931259,1.40E-05,0.9659335
1599840494,0.495103836,1.40E-05,0.9547585
1599840494,0.53513217,1.40E-05,1.005049
1599840494,0.574226141,1.40E-05,1.059532
1599840494,0.61405468,1.41E-05,1.1014405
1599840494,0.654237032,1.41E-05,1.224376
1599840494,0.695099831,1.42E-05,1.3137835
1599840494,0.74309516,1.43E-05,1.492597
1599840494,0.782832384,1.44E-05,1.665823
1599840494,0.822850704,1.45E-05,1.735672
1599840494,0.863106966,1.44E-05,1.668616
1599840494,0.902724504,1.44E-05,1.570828
1599840494,0.942992926,1.44E-05,1.6211185
1599840494,0.982826948,1.44E-05,1.5596515
1599840494,1.02233386,1.43E-05,1.443703
1599840494,1.070935965,1.43E-05,1.3878235
1599840494,1.111120224,1.41E-05,1.2187885
1599840494,1.150429964,1.40E-05,1.0036525
1599840494,1.190975428,1.40E-05,0.971521
1599840495,1.230996847,1.40E-05,0.9547585
1599840495,1.271108866,1.39E-05,0.9086575
1599840495,1.31111145,1.39E-05,0.820648
1599840495,1.351067543,1.38E-05,0.6320545
1599840495,1.398384571,1.40E-05,1.059532
1599840495,1.438972712,1.40E-05,0.9617425
1599840495,1.478555441,1.41E-05,1.1112205
1599840495,1.526981115,1.40E-05,1.072105
1599840495,1.574978113,1.38E-05,0.6697735
1599840495,1.622053146,1.42E-05,1.2928285
1599840495,1.670845747,1.38E-05,0.692125
1599840495,1.718988895,1.37E-05,0.5133115
1599840495,1.766751051,1.37E-05,0.5175025
1599840495,1.814974308,1.34E-05,0.126346
1599840495,1.863105536,1.39E-05,0.7899145
1599840495,1.910971403,1.34E-05,0.057895
1599840495,1.959116459,1.36E-05,0.4462555
1599840495,2.007104635,1.36E-05,0.436477
1599840495,2.054796219,1.35E-05,0.196195
1599840495,2.102435589,1.40E-05,1.0693105
1599840495,2.150294781,1.36E-05,0.464416
1599840495,2.198172092,1.40E-05,1.026004
1599840496,2.246299267,1.38E-05,0.7074925
1599840496,2.2946136,1.37E-05,0.5342665
1599840496,2.343094826,1.39E-05,0.8807185
1599840496,2.390599489,1.33E-05,0.0145885
1599840496,2.439005136,1.38E-05,0.7675615
1599840496,2.486957073,1.42E-05,1.3165765
1599840496,2.53497529,1.39E-05,0.8178535
1599840496,2.582562447,1.38E-05,0.650215
1599840496,2.631136417,1.39E-05,0.7843255
1599840496,2.678962946,1.44E-05,1.528918
1599840496,2.726998329,1.41E-05,1.1056315
1599840496,2.774999142,1.39E-05,0.8625565
1599840496,2.822430372,1.43E-05,1.4646565
1599840496,2.870923042,1.39E-05,0.8220445
1599840496,2.918982983,1.43E-05,1.38922
1599840496,2.967115641,1.41E-05,1.1363665
1599840496,3.015098333,1.40E-05,0.9449785
1599840496,3.062975883,1.43E-05,1.521934
1599840496,3.110981703,1.38E-05,0.734035
1599840496,3.159111738,1.43E-05,1.4199535
1599840496,3.207105637,1.41E-05,1.1852605
1599840497,3.25510788,1.40E-05,0.971521
1599840497,3.303104877,1.43E-05,1.496788
1599840497,3.350282669,1.39E-05,0.815059
1599840497,3.398917198,1.43E-05,1.496788
1599840497,3.446975231,1.41E-05,1.1279845
1599840497,3.495093107,1.40E-05,0.993874
1599840497,3.543105841,1.44E-05,1.558255
1599840497,3.591105938,1.38E-05,0.7605775
1599840497,3.639108658,1.43E-05,1.4786275
1599840497,3.687089205,1.41E-05,1.1559235
1599840497,3.734982729,1.40E-05,0.9631405
1599840497,3.783063173,1.43E-05,1.521934
1599840497,3.830991983,1.38E-05,0.732637
1599840497,3.878979206,1.43E-05,1.4870095
1599840497,3.926808119,1.41E-05,1.144747
1599840497,3.974537134,1.40E-05,1.000858
1599840497,4.023093939,1.43E-05,1.4660545
1599840497,4.070783377,1.39E-05,0.8178535
1599840497,4.118974686,1.44E-05,1.562446
1599840497,4.167112589,1.41E-05,1.1014405
1599840498,4.215104103,1.40E-05,0.9910795
1599840498,4.263101578,1.43E-05,1.521934
1599840498,4.310379982,1.39E-05,0.81925
1599840498,4.35910821,1.44E-05,1.5484765
1599840498,4.406814575,1.40E-05,1.0539445
1599840498,4.454911709,1.40E-05,0.9785065
1599840498,4.502864599,1.43E-05,1.50517
1599840498,4.550970793,1.38E-05,0.761974
1599840498,4.599105835,1.43E-05,1.4604655
1599840498,4.647107601,1.40E-05,1.066516
1599840498,4.695108414,1.40E-05,0.998065
1599840498,4.743107796,1.43E-05,1.4898025
1599840498,4.791106701,1.38E-05,0.7675615
1599840498,4.83914423,1.43E-05,1.507963
1599840498,4.887114286,1.40E-05,1.0036525
1599840498,4.934648275,1.40E-05,0.9701245
1599840498,4.983143806,1.43E-05,1.4450995
1599840498,5.030688047,1.39E-05,0.795502
1599840498,5.079102278,1.44E-05,1.5484765
1599840498,5.126992464,1.40E-05,0.979903
1599840498,5.174319744,1.40E-05,1.0329895
1599840499,5.222992897,1.43E-05,1.412968
1599840499,5.27098465,1.39E-05,0.7815325
1599840499,5.319069147,1.44E-05,1.541491
1599840499,5.366975546,1.40E-05,0.9547585
1599840499,5.414970875,1.40E-05,1.0315915
1599840499,5.463093758,1.43E-05,1.4534815
1599840499,5.511158466,1.39E-05,0.7899145
1599840499,5.558626652,1.43E-05,1.521934
1599840499,5.606971502,1.40E-05,0.931009
1599840499,5.65497303,1.40E-05,1.0567375
1599840499,5.702583551,1.43E-05,1.425541
1599840499,5.750766754,1.39E-05,0.806677
1599840499,5.799036026,1.43E-05,1.4534815
1599840499,5.846531153,1.39E-05,0.9086575
1599840499,5.894976854,1.40E-05,1.067914
1599840499,5.942976952,1.43E-05,1.401793
1599840499,5.991015434,1.39E-05,0.8052805
1599840499,6.039128065,1.44E-05,1.549873
1599840499,6.086962938,1.40E-05,0.9421855
1599840499,6.13480854,1.41E-05,1.079089
1599840499,6.183103085,1.43E-05,1.3962055
1599840500,6.230992079,1.39E-05,0.840205
1599840500,6.278844118,1.44E-05,1.5652405
1599840500,6.326981068,1.39E-05,0.8681455
1599840500,6.375112295,1.41E-05,1.112617
1599840500,6.42289567,1.42E-05,1.351501
1599840500,6.4710145,1.39E-05,0.782929
1599840500,6.519009113,1.44E-05,1.5512695
1599840500,6.566560268,1.39E-05,0.812266
1599840500,6.615096569,1.41E-05,1.174084
1599840500,6.66261363,1.42E-05,1.319371
1599840500,6.71114397,1.39E-05,0.7857235
1599840500,6.758973598,1.42E-05,1.2998125
1599840500,6.806838989,1.37E-05,0.538456
1599840500,6.854337215,1.42E-05,1.264888
1599840500,6.902937174,1.43E-05,1.443703
1599840500,6.951109171,1.40E-05,0.9365965
1599840500,6.998975515,1.44E-05,1.6504555
1599840500,7.046999454,1.34E-05,0.0970105
1599840500,7.094387293,1.38E-05,0.742417
1599840500,7.142993212,1.36E-05,0.3889795
1599840500,7.190428019,1.38E-05,0.626467
1599840501,7.238973379,1.43E-05,1.4870095
1599840501,7.286869764,1.38E-05,0.6907285
1599840501,7.335110426,1.42E-05,1.3137835
1599840501,7.382769823,1.43E-05,1.43113
1599840501,7.430975676,1.40E-05,1.0329895
1599840501,7.478986502,1.44E-05,1.6714105
1599840501,7.527107954,1.40E-05,1.059532
1599840501,7.574458838,1.42E-05,1.2676825
1599840501,7.62312746,1.42E-05,1.3375315
1599840501,7.670781136,1.39E-05,0.8751295
1599840501,7.718774319,1.45E-05,1.7091295
1599840501,7.766763449,1.39E-05,0.7927075
1599840501,7.8151021,1.38E-05,0.633451
1599840501,7.86279273,1.32E-05,-0.148859
1599840501,7.911127806,1.27E-05,-0.9549185
1599840501,7.958304167,1.29E-05,-0.676919
1599840501,8.007140875,1.26E-05,-1.151894
1599840501,8.055124998,1.42E-05,1.31518
1599840501,8.103103399,1.42E-05,1.323562
1599840501,8.151108265,1.40E-05,0.9659335
1599840501,8.199107885,1.43E-05,1.4534815
1599840502,8.246861696,1.34E-05,0.0830395
1599840502,8.294638395,1.27E-05,-0.91301
1599840502,8.342614174,1.15E-05,-2.6885765
1599840502,8.390208721,1.02E-05,-4.6583225
1599840502,8.438975334,1.01E-05,-4.810595
1599840502,8.487095594,1.11E-05,-3.2906765
1599840502,8.535100698,1.32E-05,-0.1516535
1599840502,8.583106756,1.38E-05,0.6572005
1599840502,8.631125212,1.39E-05,0.78712
1599840502,8.67882514,1.44E-05,1.549873
1599840502,8.727104902,1.38E-05,0.651613
1599840502,8.774975538,1.39E-05,0.8877025
1599840502,8.822474003,1.35E-05,0.320527
1599840502,8.870914221,1.31E-05,-0.281573
1599840502,8.91910553,1.32E-05,-0.15305
1599840502,8.966279745,1.23E-05,-1.485773
1599840502,9.015108109,1.25E-05,-1.249682
1599840502,9.062996149,1.16E-05,-2.578214
1599840502,9.110974789,1.19E-05,-2.1144155
1599840502,9.1591115,1.38E-05,0.7647685
1599840502,9.206975698,1.32E-05,-0.1963565
1599840503,9.254846334,1.35E-05,0.2534725
1599840503,9.303093433,1.34E-05,0.172447
1599840503,9.350990534,1.34E-05,0.1375225
1599840503,9.398846388,1.33E-05,-0.0119555
1599840503,9.446964264,1.21E-05,-1.914647
1599840503,9.494483232,1.31E-05,-0.30113
1599840503,9.543124437,1.29E-05,-0.710447
1599840503,9.590682745,1.29E-05,-0.6210395
1599840503,9.638418436,1.33E-05,-0.0273215
1599840503,9.687094688,1.28E-05,-0.7984565
1599840503,9.734964132,1.36E-05,0.4714015
1599840503,9.783125401,1.41E-05,1.091662
1599840503,9.831099749,1.39E-05,0.852778
1599840503,9.879109621,1.41E-05,1.112617
1599840503,9.926392317,1.39E-05,0.7927075
1599840503,9.974992037,1.43E-05,1.454878
1599840503,10.02310443,1.40E-05,1.066516
1599840503,10.07111359,1.39E-05,0.836014
1599840503,10.11815691,1.43E-05,1.4660545
1599840503,10.1670444,1.34E-05,0.073261
1599840504,10.21466208,1.40E-05,0.9673315
1599840504,10.26297617,1.38E-05,0.641833
1599840504,10.31080055,1.36E-05,0.453241
1599840504,10.35911393,1.37E-05,0.5580145
1599840504,10.40601158,1.30E-05,-0.4897235
1599840504,10.45483398,1.31E-05,-0.397523
1599840504,10.50286031,1.24E-05,-1.3390895
1599840504,10.55096316,1.28E-05,-0.738386
1599840504,10.59800649,1.27E-05,-0.94514
1599840504,10.6470964,1.19E-05,-2.104637
1599840504,10.69498086,1.21E-05,-1.9006775
1599840504,10.74311709,1.09E-05,-3.7055795
1599840504,10.79111409,1.03E-05,-4.5242135
1599840504,10.83910775,1.04E-05,-4.468334
1599840504,10.88711715,9.93E-06,-5.0997695
1599840504,10.9351356,1.01E-05,-4.814786
1599840504,10.98307967,9.32E-06,-6.014795
1599840504,11.03068805,9.28E-06,-6.0860405
1599840504,11.07902098,9.51E-06,-5.72981
1599840504,11.12650871,9.07E-06,-6.3877895
1599840504,11.1749804,9.65E-06,-5.531438
1599840505,11.22300887,9.55E-06,-5.6823125
1599840505,11.27110481,9.68E-06,-5.4797495
1599840505,11.31912231,9.74E-06,-5.3973275
1599840505,11.36682439,9.58E-06,-5.626433
1599840505,11.41504955,1.04E-05,-4.3956905
1599840505,11.46311617,1.03E-05,-4.4990675
1599840505,11.51110744,1.09E-05,-3.6538925
1599840505,11.55843949,1.14E-05,-2.903711
1599840505,11.6069684,1.11E-05,-3.366113
1599840505,11.65510273,1.13E-05,-2.990324
1599840505,11.70311213,1.08E-05,-3.786605
1599840505,11.75038934,1.12E-05,-3.233399
1599840505,11.79897523,1.15E-05,-2.7165155
1599840505,11.84673452,1.12E-05,-3.169139
1599840505,11.89511561,1.13E-05,-3.0210575
1599840505,11.94304895,1.14E-05,-2.86739
1599840505,11.99110985,1.06E-05,-4.1637905
1599840505,12.03863978,1.16E-05,-2.6592395
1599840505,12.08623815,1.13E-05,-3.01547
1599840505,12.13439727,1.17E-05,-2.491601
1599840505,12.1831038,1.09E-05,-3.6203645
1599840506,12.23097348,1.09E-05,-3.720947
1599840506,12.27911997,9.33E-06,-6.0078095
1599840506,12.32711506,6.82E-06,-9.771284
1599840506,12.37510753,5.00E-06,-12.50099
1599840506,12.42310739,3.60E-06,-14.5992605
1599840506,12.47110462,1.48E-06,-17.777399
1599840506,12.51895308,4.29E-06,-13.565492
1599840506,12.56712937,6.09E-06,-10.863725
1599840506,12.61508155,7.39E-06,-8.9107415
1599840506,12.66261101,6.54E-06,-10.1861885
