Time, Time Since Begin, V/V Raw Data, Force 
1600169194.4167008,0.23325014114379883,1.1912547e-05,-2.1311794999999982
1600169194.4516735,0.2682228088378906,1.1302531e-05,-3.0462035000000007
1600169194.4986916,0.31524085998535156,1.0957941e-05,-3.563088499999999
1600169194.5455968,0.36214613914489746,8.862466e-06,-6.706301
1600169194.5766447,0.39319396018981934,1.0074116e-05,-4.888826000000002
1600169194.6204095,0.43695878982543945,1.166109e-05,-2.5083650000000013
1600169194.65165,0.4681992530822754,1.1478551e-05,-2.782173499999999
1600169194.698514,0.5150632858276367,1.1612661e-05,-2.5810084999999994
1600169194.7452357,0.5617849826812744,1.27526e-05,-0.8710999999999984
1600169194.792262,0.6088113784790039,1.3685785e-05,0.5286775000000006
1600169194.826846,0.643395185470581,1.23512e-05,-1.473200000000002
1600169194.873927,0.6904764175415039,1.0649674e-05,-4.025489
1600169194.905149,0.7216982841491699,1.0559335e-05,-4.160997500000001
1600169194.9520125,0.768561840057373,1.0382384e-05,-4.426423999999999
1600169194.9832606,0.7998099327087402,1.0918826e-05,-3.6217609999999993
1600169195.0207393,0.8372886180877686,1.133699e-05,-2.994515
1600169195.0618749,0.8784241676330566,1.1519529e-05,-2.720706500000002
1600169195.1138678,0.9304170608520508,1.3096258e-05,-0.3556129999999982
1600169195.1547275,0.9712767601013184,1.406949e-05,1.1042350000000027
1600169195.2015903,1.0181396007537842,1.4361925e-05,1.542887499999999
1600169195.237489,1.0540382862091064,1.4267862e-05,1.4017930000000014
1600169195.2689168,1.0854661464691162,1.4072284e-05,1.1084260000000015
1600169195.3160322,1.1325814723968506,1.3466924e-05,0.20038600000000173
1600169195.3627365,1.1792857646942139,1.2930483e-05,-0.6042755
1600169195.394156,1.210705280303955,1.2435019e-05,-1.3474714999999975
1600169195.4410126,1.2575619220733643,1.2652948e-05,-1.0205780000000004
1600169195.4878833,1.3044326305389404,1.2995675e-05,-0.5064874999999986
1600169195.5191376,1.3356869220733643,1.376681e-05,0.6502150000000029
1600169195.5659926,1.3825418949127197,1.3904646e-05,0.8569689999999994
1600169195.5970387,1.413588047027588,1.3415702e-05,0.12355300000000113
1600169195.6392703,1.4558196067810059,1.3497658e-05,0.24648699999999835
1600169195.6983328,1.5148820877075195,1.3694167e-05,0.5412505000000003
1600169195.7456696,1.5622189044952393,1.2469478e-05,-1.2957830000000001
1600169195.7866757,1.6032249927520752,1.3197772e-05,-0.2033420000000028
1600169195.827473,1.6440222263336182,1.2948178e-05,-0.5777329999999985
1600169195.8887546,1.7053039073944092,1.2164004e-05,-1.7539939999999987
1600169195.9297488,1.74629807472229,1.1701137e-05,-2.4482944999999994
1600169195.976797,1.7933464050292969,1.2250617e-05,-1.624074499999999
1600169196.0234807,1.8400299549102783,1.3034791e-05,-0.44781349999999875
1600169196.0705366,1.8870859146118164,1.2265518e-05,-1.6017229999999998
1600169196.1273482,1.9438974857330322,1.1313707e-05,-3.0294394999999987
