Time	Tip Location
11:49:23	0.000;0.000;0.000
11:49:40	0.000;0.000;0.000
11:49:50	17752.889;9270.548;543.386
11:50:07	17752.785;9209.796;542.849
11:50:44	0.000;0.000;0.000
11:51:24	17752.615;9262.030;439.383
11:51:48	17752.447;9234.095;430.692
11:52:08	0.000;0.000;0.000
11:52:31	17761.881;9296.048;559.057
11:52:41	17761.911;9296.849;519.075
11:53:02	17762.678;9298.356;449.819
11:53:11	17761.227;9299.391;373.356
11:53:16	17761.722;9299.733;352.111
11:55:00	0.000;0.000;0.000
11:55:37	17762.708;9283.840;311.842
11:55:42	0.000;0.000;0.000
11:55:53	17762.804;9245.385;312.098
11:56:08	17762.130;9211.838;311.432
11:56:49	0.000;0.000;0.000
11:57:07	17886.689;9295.054;490.451
11:57:22	17891.769;9298.750;342.533
11:57:32	17888.305;9205.884;310.617
11:57:39	17889.573;9287.627;311.901
11:57:48	17890.147;9252.896;311.972
11:59:02	17875.828;8636.347;723.013
11:59:07	17839.270;8636.850;724.420
11:59:12	17772.831;8636.841;729.160
11:59:23	17779.057;8636.625;719.954
11:59:45	17844.002;8636.789;715.364
12:00:03	17757.344;8622.706;716.568
12:00:22	17757.513;8559.920;726.834
12:00:28	17757.873;8510.064;731.188
12:00:33	17757.323;8509.558;715.421
12:00:36	17757.324;8542.672;716.494
12:00:52	17757.682;8578.330;718.028
12:01:17	17758.074;8582.772;730.016
12:01:20	17876.698;8565.497;729.070
12:01:45	17871.504;8588.256;688.811
12:01:56	17860.900;8529.474;688.746
12:02:01	17906.000;8600.038;722.147
12:02:09	17792.799;8617.295;689.114
12:02:44	17780.702;8542.327;689.124
12:02:48	17771.036;8538.956;683.847
12:02:55	17794.788;8524.682;689.600
12:02:59	0.000;0.000;0.000
12:05:21	17328.219;6676.952;1132.628
12:05:25	17335.505;6615.874;1128.648
12:05:29	17334.007;6612.782;1053.449
12:05:32	17333.695;6618.354;1020.793
12:05:38	17331.687;6643.691;1014.251
12:05:44	17328.472;6686.305;920.819
12:05:52	17331.152;6655.067;883.885
12:05:58	17333.811;6618.709;892.249
12:06:31	17330.787;6661.197;870.007
12:07:17	17323.108;6620.932;1149.233
12:07:35	17319.841;6661.909;1151.615
12:07:44	17317.726;6681.167;1152.687
12:07:50	17213.725;6588.897;1147.235
12:07:56	17209.619;6628.884;1149.972
12:08:11	17205.177;6671.229;1152.147
12:08:14	17231.924;6611.426;1153.851
12:08:39	17326.256;6588.011;1133.949
12:08:47	0.000;0.000;0.000
12:09:32	17328.439;6595.937;957.054
12:19:57	18074.877;6395.070;1547.942
12:20:11	18031.117;6390.425;1555.891
12:20:25	17857.045;6388.647;1561.642
12:20:31	17847.616;6384.318;1488.508
12:20:43	17964.294;6389.848;1486.424
12:21:07	18084.747;6391.605;1489.252
12:21:15	17830.556;6378.297;1474.766
12:21:39	0.000;0.000;0.000
12:22:01	18067.998;6384.408;1474.254
12:22:18	18076.600;6251.413;1474.864
12:22:56	17930.797;6251.679;1473.079
12:23:07	17838.194;6250.940;1472.233
12:23:10	17979.905;6246.907;1360.971
12:23:18	18107.728;6382.936;1566.263
12:23:22	18108.172;6382.871;1522.725
12:23:25	18108.115;6383.196;1500.929
12:23:35	18108.507;6255.127;1566.803
12:23:38	18108.676;6255.237;1548.257
12:23:40	18108.929;6255.525;1522.246
12:23:46	18109.070;6254.447;1488.124
12:24:44	18108.925;6254.081;1511.283
12:25:09	18108.672;6253.101;1545.063
12:25:19	18107.862;6383.285;1547.426
12:25:24	18108.188;6381.414;1508.818
12:26:16	17206.766;6729.662;858.699
12:26:23	17207.125;6731.050;848.142
12:26:42	17309.327;6740.004;854.439
12:26:51	17262.999;6735.258;851.447
12:27:02	17236.922;6732.945;858.715
12:27:08	17190.427;6711.671;853.029
12:27:26	17192.795;6680.127;852.832
12:27:58	17198.895;6605.860;848.397
12:28:03	17196.600;6630.135;848.327
12:28:15	17226.086;6624.965;877.180
12:28:18	17246.439;6616.519;883.007
12:28:21	17266.214;6616.802;876.417
12:28:47	17261.811;6632.141;877.419
12:28:57	0.000;0.000;0.000
12:29:10	17301.646;6703.954;882.027
12:29:23	17268.759;6716.306;883.007
12:29:33	17222.564;6698.463;881.674
12:29:45	17245.687;6715.193;882.693
12:30:21	17300.540;6737.735;858.544
12:30:27	17268.763;6734.834;862.359
12:30:48	17238.699;6733.555;848.003
12:30:57	17209.044;6730.427;856.900
12:31:10	17190.582;6713.006;853.538
12:31:28	17197.127;6629.438;845.142
12:31:41	17199.039;6605.944;838.336
