16:24:36	17328.571;6675.213;1126.764
16:24:44	17328.207;6688.961;907.205
16:24:49	17331.300;6650.647;1014.275
16:24:55	17334.368;6601.234;1128.554
16:25:18	17334.043;6616.102;911.693
16:26:27	17327.849;6588.044;1116.319
16:26:47	17326.671;6593.604;1013.416
16:26:54	17325.975;6601.176;876.330
16:26:58	17230.929;6589.523;876.471
16:27:06	17213.241;6591.738;875.490
16:27:09	17212.347;6590.905;904.285
16:27:12	17212.047;6588.780;943.181
16:27:14	17212.238;6584.872;1019.298
16:27:18	17212.521;6582.149;1068.116
16:27:24	17213.071;6579.119;1126.079
16:27:40	17325.003;6588.975;1095.703
16:28:05	17322.704;6600.053;1147.978
16:28:16	17322.945;6634.818;1150.077
16:28:26	17318.771;6681.203;1152.680
16:28:41	17214.016;6588.977;1147.503
16:28:49	17208.724;6629.341;1149.825
16:28:57	17204.186;6672.682;1152.400
