Things probed: 

Dummy Clamp Prob Points on Beam
Dummy Clamp Prob Points on Storage
Dummy Clamp Storage Pad
Dummy Clamp Beam Holes and srfs


Time	Tip Location
12:28:31	17779.049;6358.621;1561.320
12:29:52	17769.293;6356.776;1604.324
12:29:52	17769.294;6356.780;1604.311
12:29:52	17769.294;6356.780;1604.311
12:29:52	17769.294;6356.780;1604.311
12:29:52	17769.299;6356.782;1604.291
12:29:53	17769.319;6356.782;1604.268
12:29:53	17769.372;6356.781;1603.685
12:29:53	17769.372;6356.781;1603.685
12:29:53	17769.372;6356.781;1603.685
12:29:53	17769.398;6356.781;1603.666
12:29:53	17769.883;6356.786;1603.506
12:29:53	17769.883;6356.786;1603.506
12:29:55	17770.002;6356.800;1603.193
12:29:56	17770.662;6356.803;1599.184
12:29:56	17770.662;6356.803;1599.184
12:29:56	17770.662;6356.803;1599.184
12:29:56	17770.638;6356.803;1599.163
12:29:56	17770.638;6356.803;1599.163
12:30:00	17769.604;6356.561;1585.580
12:30:01	17769.594;6356.597;1585.581
12:30:01	17769.594;6356.597;1585.581
12:30:01	17769.594;6356.597;1585.581
12:30:06	17771.003;6356.513;1581.814
12:30:06	17771.020;6356.518;1581.812
12:30:07	17771.033;6356.519;1581.812
12:30:07	17771.033;6356.519;1581.812
12:30:07	17771.033;6356.519;1581.812
12:30:07	17771.033;6356.519;1581.812
12:30:07	17771.040;6356.516;1581.815
12:30:08	17771.085;6356.515;1581.764
12:30:08	17771.085;6356.515;1581.764
12:30:08	17771.085;6356.515;1581.764
12:30:08	17771.210;6356.521;1581.745
12:30:08	17771.210;6356.521;1581.745
12:30:08	17771.219;6356.523;1581.728
12:30:10	17771.247;6356.567;1582.583
12:30:10	17771.247;6356.567;1582.583
12:30:10	17771.247;6356.567;1582.583
12:30:10	17771.230;6356.535;1582.617
12:30:10	17771.230;6356.535;1582.617
12:30:11	17771.251;6357.271;1582.453
12:30:17	17767.965;6356.979;1497.642
12:30:17	17767.965;6356.979;1497.642
12:30:17	17767.982;6356.982;1497.634
12:30:19	17769.433;6356.881;1494.916
12:30:19	17769.433;6356.881;1494.916
12:30:19	17769.433;6356.881;1494.916
12:30:19	17769.414;6356.859;1494.948
12:30:26	17769.837;6272.710;1603.847
12:30:26	17769.837;6272.710;1603.847
12:30:26	17769.793;6272.725;1603.807
12:30:26	17769.765;6272.741;1603.789
12:30:31	17769.462;6272.782;1596.766
12:30:32	17769.462;6272.782;1596.766
12:30:34	17769.386;6272.776;1591.721
12:30:34	17769.344;6272.781;1591.722
12:30:34	17769.344;6272.781;1591.722
12:30:34	17769.308;6272.785;1591.688
12:30:35	17769.358;6272.849;1587.376
12:30:38	17771.467;6272.858;1578.062
12:30:39	17771.467;6272.858;1578.062
12:30:46	17770.086;6272.830;1494.292
12:30:46	17770.110;6272.832;1494.242
12:30:46	17770.110;6272.832;1494.242
12:30:47	17770.110;6272.832;1494.242
12:30:47	17770.167;6272.848;1494.196
12:30:47	17770.167;6272.848;1494.196
12:30:47	17770.196;6272.848;1494.167
12:30:52	17770.006;6272.821;1493.766
12:30:56	17768.509;6272.799;1492.973
12:32:12	17795.260;9321.093;641.181
12:32:28	17798.331;9295.894;641.274
12:32:28	17798.331;9295.894;641.274
12:32:29	17797.661;9296.004;641.180
12:32:29	17797.619;9296.035;641.161
