Probed the tool on robot

Time	Tip Location
18:24:32	17872.825;7072.183;1491.579
18:24:32	17872.825;7072.183;1491.579
18:24:32	17872.822;7072.175;1491.557
18:24:33	17872.822;7072.175;1491.557
18:24:33	17872.822;7072.162;1491.519
18:24:33	17872.825;7072.166;1491.483
18:24:38	17872.906;7077.190;1504.628
18:24:38	17872.901;7077.176;1504.640
18:24:38	17872.907;7077.180;1504.643
18:24:41	17872.813;7074.351;1511.775
18:24:41	17872.813;7074.351;1511.775
18:24:41	17872.813;7074.351;1511.775
18:24:41	17872.807;7074.367;1511.766
18:24:41	17872.807;7074.367;1511.766
18:24:42	17872.807;7074.367;1511.766
18:24:43	17872.882;7074.513;1517.409
18:24:52	17863.249;7003.475;1524.896
18:24:52	17863.249;7003.475;1524.896
18:24:52	17863.261;7003.496;1524.899
18:24:53	17863.261;7003.496;1524.899
18:24:53	17863.261;7003.496;1524.899
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.269;7003.493;1524.892
18:24:53	17863.279;7003.477;1524.885
18:24:54	17863.335;7003.479;1522.758
18:24:55	17863.345;7003.482;1522.752
18:24:56	17862.952;7003.495;1519.308
18:24:56	17862.952;7003.495;1519.308
18:24:56	17862.952;7003.495;1519.308
18:24:56	17862.952;7003.495;1519.308
18:24:57	17862.880;7003.498;1517.306
18:24:57	17862.880;7003.498;1517.306
18:24:57	17862.880;7003.498;1517.306
18:24:59	17864.294;7003.511;1514.788
18:24:59	17864.294;7003.511;1514.788
18:25:01	17864.216;7003.523;1511.494
18:25:02	17864.265;7003.531;1509.211
18:25:04	17864.536;7003.571;1506.103
18:25:06	17865.024;7003.590;1504.066
18:25:06	17865.024;7003.590;1504.066
18:25:06	17865.026;7003.594;1504.061
18:25:24	17864.616;7004.164;1416.014
18:25:24	17864.616;7004.164;1416.014
18:25:32	17865.335;7004.115;1415.394
18:25:32	17865.335;7004.115;1415.394
18:25:32	17865.347;7004.125;1415.394
18:25:32	17865.347;7004.125;1415.394
18:25:32	17865.324;7004.136;1415.373
18:25:42	17863.585;7087.756;1525.734
18:25:44	17862.682;7087.698;1520.839
18:25:44	17862.682;7087.698;1520.839
18:25:45	17862.675;7087.699;1520.822
18:25:45	17862.675;7087.699;1520.822
18:25:45	17862.669;7087.695;1520.811
18:25:45	17862.669;7087.695;1520.811
18:25:46	17864.908;7087.699;1514.740
18:25:46	17864.908;7087.699;1514.740
18:25:46	17864.908;7087.699;1514.740
18:25:47	17864.729;7087.678;1511.702
18:25:47	17864.729;7087.678;1511.702
18:25:47	17864.729;7087.678;1511.702
18:25:48	17864.601;7086.988;1506.198
18:25:48	17864.601;7086.988;1506.198
18:25:48	17864.601;7086.988;1506.198
18:25:48	17864.594;7086.980;1506.203
18:25:48	17864.594;7086.980;1506.203
18:25:48	17864.585;7086.944;1506.215
18:25:48	17864.580;7086.946;1506.207
18:25:57	17864.912;7087.524;1502.382
18:25:57	17864.916;7087.535;1502.369
18:25:57	17864.916;7087.535;1502.369
18:25:58	17864.919;7087.543;1502.358
18:25:58	17864.919;7087.543;1502.358
18:25:58	17864.918;7087.532;1502.368
18:25:58	17864.920;7087.534;1502.368
18:25:58	17864.920;7087.534;1502.368
18:25:58	17864.920;7087.531;1502.366
18:25:58	17864.920;7087.531;1502.366
18:25:58	17864.925;7087.542;1502.353
18:25:58	17864.925;7087.542;1502.353
18:25:59	17864.925;7087.542;1502.353
18:25:59	17864.927;7087.550;1502.345
18:26:02	17864.693;7087.503;1528.252
18:26:02	17864.693;7087.503;1528.252
18:26:02	17864.657;7087.495;1528.165
18:26:13	17860.924;7087.640;1418.006
18:26:14	17860.924;7087.640;1418.006
18:26:16	17860.968;7087.708;1414.109
18:26:16	17860.968;7087.708;1414.109
18:26:20	17861.021;7087.830;1420.758
18:26:20	17861.021;7087.830;1420.758
18:26:20	17861.021;7087.830;1420.758
18:26:21	17861.015;7087.821;1420.830
18:26:21	17861.015;7087.821;1420.830
18:26:21	17860.982;7087.850;1423.460
18:26:21	17860.982;7087.850;1423.460
18:26:24	17862.698;7088.347;1416.074
