Time, Time Since Begin, V/V Raw Data, Force 
1611771677.1552792,0.2512080669403076,7.256866e-06,-11.114701
1611771677.1956508,0.2915797233581543,7.377937e-06,-10.933094500000001
1611771677.2357535,0.3316824436187744,6.785616e-06,-11.821576
1611771677.2836044,0.3795332908630371,5.629845e-06,-13.5552325
1611771677.3236096,0.4195384979248047,3.933907e-06,-16.0991395
1611771677.3627656,0.4586944580078125,3.067777e-06,-17.3983345
1611771677.4037392,0.4996681213378906,1.810491e-06,-19.2842635
1611771677.451745,0.5476739406585693,1.234002e-06,-20.148997
1611771677.4911997,0.5871286392211914,7.5344e-07,-20.86984
1611771677.5313637,0.6272926330566406,1.3039e-08,-21.9804415
1611771677.571657,0.6675858497619629,9.88133e-07,-20.5178005
1611771677.6197283,0.7156572341918945,1.526438e-06,-19.710343
1611771677.659729,0.7556579113006592,2.211891e-06,-18.6821635
1611771677.699602,0.7955307960510254,2.636574e-06,-18.045139
1611771677.7474635,0.8433923721313477,2.269633e-06,-18.5955505
1611771677.7872589,0.8831877708435059,2.393499e-06,-18.4097515
1611771677.827751,0.9236798286437988,2.937391e-06,-17.5939135
1611771677.8677433,0.9636721611022949,3.384426e-06,-16.923361
1611771677.914687,1.0106158256530762,2.943911e-06,-17.5841335
1611771677.9556499,1.0515787601470947,2.808869e-06,-17.786696499999998
1611771677.9949558,1.0908846855163574,1.356006e-06,-19.965991
1611771678.0346353,1.1305642127990723,-2.386048e-06,-25.579072
1611771678.0827508,1.1786797046661377,-7.322058e-06,-32.983087
1611771678.1232762,1.2192051410675049,-6.460585e-06,-31.6908775
1611771678.162656,1.258584976196289,-5.259179e-06,-29.888768499999998
1611771678.203218,1.2991468906402588,-4.087575e-06,-28.1313625
1611771678.2512865,1.3472154140472412,-6.32368e-06,-31.48552
1611771678.2916043,1.387533187866211,-6.479211e-06,-31.7188165
1611771678.3309336,1.4268624782562256,-5.262904e-06,-29.894356000000002
1611771678.370761,1.4666898250579834,-5.418435e-06,-30.1276525
1611771678.4194694,1.5153982639312744,-5.492941e-06,-30.2394115
1611771678.4594133,1.555342197418213,-6.476417e-06,-31.7146255
1611771678.4993062,1.5952351093292236,-8.028932e-06,-34.043397999999996
1611771678.5397294,1.6356582641601562,-7.793307e-06,-33.6899605
1611771678.587072,1.6830008029937744,-6.278977e-06,-31.4184655
1611771678.6269655,1.7228944301605225,-5.677342e-06,-30.516013
1611771678.666755,1.7626838684082031,-4.441477e-06,-28.662215500000002
1611771678.7156398,1.8115687370300293,-2.924353e-06,-26.3865295
1611771678.7637298,1.8596587181091309,-2.404675e-06,-25.6070125
1611771678.811746,1.907674789428711,-2.146699e-06,-25.2200485
1611771678.8597455,1.955674409866333,-3.635883e-06,-27.4538245
1611771678.9077663,2.003695249557495,-4.021451e-06,-28.0321765
1611771678.955716,2.051644802093506,-3.019348e-06,-26.529022
1611771679.0034842,2.0994131565093994,-1.671724e-06,-24.507586
1611771679.0508113,2.146740198135376,2.393499e-06,-18.4097515
1611771679.0995777,2.1955065727233887,3.853813e-06,-16.2192805
1611771679.147377,2.2433059215545654,4.304573e-06,-15.5431405
1611771679.1946929,2.290621757507324,7.051975e-06,-11.4220375
1611771679.243737,2.3396658897399902,8.445233e-06,-9.3321505
1611771679.2916017,2.387530565261841,1.01896e-05,-6.7156
1611771679.3394122,2.4353411197662354,1.1033379e-05,-5.449931500000002
1611771679.387732,2.483660936355591,9.795651e-06,-7.306523500000001
1611771679.4356315,2.5315604209899902,1.2228265e-05,-3.6576024999999994
1611771679.4837406,2.57966947555542,1.2202188e-05,-3.6967180000000006
1611771679.530744,2.6266729831695557,1.1365861e-05,-4.9512085
1611771679.5789275,2.674856424331665,9.87947e-06,-7.180795
1611771679.6270356,2.7229645252227783,5.84498e-06,-13.232529999999999
1611771679.6756256,2.771554470062256,3.009103e-06,-17.4863455
1611771679.7237406,2.819669485092163,5.01983e-07,-21.2470255
1611771679.7717452,2.8676741123199463,-3.21306e-07,-22.481959
1611771679.8196182,2.9155471324920654,-1.179986e-06,-23.769979
1611771679.8673115,2.963240385055542,-2.051704e-06,-25.077556
1611771679.9157197,3.011648654937744,-2.909452e-06,-26.364178
1611771679.9637198,3.0596487522125244,-2.449378e-06,-25.674067
1611771680.0117402,3.1076691150665283,-4.98258e-07,-22.747387
1611771680.059766,3.1556949615478516,-1.944602e-06,-24.916903
1611771680.1077569,3.203685760498047,-5.193986e-06,-29.790979
1611771680.155197,3.2511258125305176,-6.743707e-06,-32.1155605
1611771680.2027051,3.2986340522766113,-6.085262e-06,-31.127893
1611771680.2516084,3.3475372791290283,-5.307607e-06,-29.9614105
1611771680.2997637,3.3956925868988037,-4.356727e-06,-28.5350905
1611771680.3477535,3.4436824321746826,-2.437271e-06,-25.6559065
1611771680.3957412,3.4916701316833496,-2.587214e-06,-25.880821
1611771680.4437413,3.53967022895813,-2.890825e-06,-26.3362375
1611771680.4907439,3.586672782897949,-2.637506e-06,-25.956259
1611771680.5394907,3.6354196071624756,-3.784895e-06,-27.6773425
1611771680.5876822,3.6836111545562744,-4.751608e-06,-29.127412
1611771680.6356285,3.7315573692321777,-4.917383e-06,-29.3760745
1611771680.6826017,3.7785305976867676,-5.871058e-06,-30.806587
1611771680.7315435,3.827472448348999,-6.929971e-06,-32.3949565
1611771680.7796075,3.8755364418029785,-7.483177e-06,-33.224765500000004
1611771680.827755,3.9236838817596436,-6.295741e-06,-31.443611500000003
1611771680.875732,3.971660852432251,-5.441718e-06,-30.162577
1611771680.923743,4.01967191696167,-7.054769e-06,-32.582153500000004
1611771680.9717796,4.067708492279053,-9.251758e-06,-35.877637
1611771681.0197625,4.115691423416138,-8.165836e-06,-34.248754000000005
1611771681.0677667,4.163695573806763,-9.008683e-06,-35.5130245
1611771681.115614,4.211542844772339,-8.77399e-06,-35.160985
1611771681.1637492,4.25967812538147,-8.472241e-06,-34.7083615
1611771681.2114515,4.307380437850952,-8.594245e-06,-34.8913675
1611771681.259356,4.355284929275513,-6.579794e-06,-31.869691000000003
